2023-01-01 16:57:49,638 [INFO ]  loading data data/pc9.db
2023-01-02 02:11:51,269 [INFO ]  step=2675000, energy_mae=0.0178203, energy_rmse=0.0591217, total_loss=0.00349538, train_loss=6.46227e+11
2023-01-02 02:16:42,787 [INFO ]  step=2680000, energy_mae=0.0178042, energy_rmse=0.0585532, total_loss=0.00342848, train_loss=6.50051e+11
2023-01-02 02:21:34,366 [INFO ]  step=2685000, energy_mae=0.0176091, energy_rmse=0.0587321, total_loss=0.00344946, train_loss=6.42227e+11
2023-01-02 02:26:25,640 [INFO ]  step=2690000, energy_mae=0.0175345, energy_rmse=0.0581617, total_loss=0.00338278, train_loss=6.38362e+11
2023-01-02 02:31:16,953 [INFO ]  step=2695000, energy_mae=0.0176529, energy_rmse=0.0586699, total_loss=0.00344216, train_loss=6.46976e+11
2023-01-02 02:36:08,119 [INFO ]  step=2700000, energy_mae=0.0174008, energy_rmse=0.0580228, total_loss=0.00336665, train_loss=6.35682e+11
2023-01-02 02:40:59,446 [INFO ]  step=2705000, energy_mae=0.0174319, energy_rmse=0.0586827, total_loss=0.00344366, train_loss=6.45964e+11
2023-01-02 02:45:49,897 [INFO ]  step=2710000, energy_mae=0.0177311, energy_rmse=0.0587406, total_loss=0.00345046, train_loss=6.34053e+11
2023-01-02 02:50:41,151 [INFO ]  step=2715000, energy_mae=0.0178408, energy_rmse=0.059155, total_loss=0.00349931, train_loss=6.35139e+11
2023-01-02 02:55:32,201 [INFO ]  step=2720000, energy_mae=0.0177065, energy_rmse=0.0583118, total_loss=0.00340027, train_loss=6.44245e+11
2023-01-02 03:00:22,949 [INFO ]  step=2725000, energy_mae=0.0187402, energy_rmse=0.0590979, total_loss=0.00349256, train_loss=6.32141e+11
2023-01-02 03:05:14,224 [INFO ]  step=2730000, energy_mae=0.0175529, energy_rmse=0.0589102, total_loss=0.00347041, train_loss=6.40226e+11
2023-01-02 03:10:06,003 [INFO ]  step=2735000, energy_mae=0.0183009, energy_rmse=0.0590826, total_loss=0.00349075, train_loss=6.17551e+11
2023-01-02 03:14:57,284 [INFO ]  step=2740000, energy_mae=0.0172827, energy_rmse=0.0581103, total_loss=0.00337681, train_loss=6.27248e+11
2023-01-02 03:19:48,856 [INFO ]  step=2745000, energy_mae=0.0177268, energy_rmse=0.0585742, total_loss=0.00343093, train_loss=6.32308e+11
2023-01-02 03:24:39,658 [INFO ]  step=2750000, energy_mae=0.0174534, energy_rmse=0.0583194, total_loss=0.00340115, train_loss=6.17082e+11
2023-01-02 03:29:30,769 [INFO ]  step=2755000, energy_mae=0.0184737, energy_rmse=0.0593242, total_loss=0.00351937, train_loss=6.19461e+11
2023-01-02 03:34:21,665 [INFO ]  step=2760000, energy_mae=0.0173655, energy_rmse=0.0582347, total_loss=0.00339128, train_loss=6.19976e+11
2023-01-02 03:39:12,071 [INFO ]  step=2765000, energy_mae=0.0175682, energy_rmse=0.0581501, total_loss=0.00338143, train_loss=6.33443e+11
2023-01-02 03:44:02,885 [INFO ]  step=2770000, energy_mae=0.0177373, energy_rmse=0.0575092, total_loss=0.00330731, train_loss=6.10913e+11
2023-01-02 03:49:07,130 [INFO ]  step=2775000, energy_mae=0.0193396, energy_rmse=0.0591348, total_loss=0.00349692, train_loss=6.17236e+11
2023-01-02 03:54:20,174 [INFO ]  step=2780000, energy_mae=0.0197646, energy_rmse=0.0593777, total_loss=0.00352571, train_loss=6.18768e+11
2023-01-02 03:59:37,975 [INFO ]  step=2785000, energy_mae=0.0174408, energy_rmse=0.0583093, total_loss=0.00339997, train_loss=6.22843e+11
2023-01-02 04:04:57,120 [INFO ]  step=2790000, energy_mae=0.0188046, energy_rmse=0.0587444, total_loss=0.00345091, train_loss=6.06362e+11
2023-01-02 04:10:15,716 [INFO ]  step=2795000, energy_mae=0.0192139, energy_rmse=0.0589942, total_loss=0.00348032, train_loss=6.13248e+11
2023-01-02 04:15:35,403 [INFO ]  step=2800000, energy_mae=0.0174734, energy_rmse=0.0584309, total_loss=0.00341417, train_loss=6.11546e+11
2023-01-02 04:20:54,277 [INFO ]  step=2805000, energy_mae=0.0173677, energy_rmse=0.0585069, total_loss=0.00342306, train_loss=6.04761e+11
2023-01-02 04:26:18,045 [INFO ]  step=2810000, energy_mae=0.0175769, energy_rmse=0.0586072, total_loss=0.00343481, train_loss=5.95879e+11
2023-01-02 04:31:41,959 [INFO ]  step=2815000, energy_mae=0.0173493, energy_rmse=0.0586258, total_loss=0.00343699, train_loss=5.98775e+11
2023-01-02 04:37:05,876 [INFO ]  step=2820000, energy_mae=0.0176074, energy_rmse=0.058453, total_loss=0.00341676, train_loss=6.11152e+11
2023-01-02 04:42:28,000 [INFO ]  step=2825000, energy_mae=0.0180668, energy_rmse=0.0586664, total_loss=0.00344175, train_loss=5.8737e+11
2023-01-02 04:47:49,991 [INFO ]  step=2830000, energy_mae=0.017823, energy_rmse=0.0587636, total_loss=0.00345316, train_loss=6.0145e+11
2023-01-02 04:53:11,906 [INFO ]  step=2835000, energy_mae=0.0175794, energy_rmse=0.0583489, total_loss=0.00340459, train_loss=5.96602e+11
2023-01-02 04:58:15,636 [INFO ]  step=2840000, energy_mae=0.0175853, energy_rmse=0.0580757, total_loss=0.00337279, train_loss=5.92026e+11
2023-01-02 05:03:07,145 [INFO ]  step=2845000, energy_mae=0.0175936, energy_rmse=0.058738, total_loss=0.00345016, train_loss=5.89239e+11
2023-01-02 05:07:58,776 [INFO ]  step=2850000, energy_mae=0.0172733, energy_rmse=0.0583886, total_loss=0.00340923, train_loss=5.90125e+11
2023-01-02 05:12:50,352 [INFO ]  step=2855000, energy_mae=0.0184117, energy_rmse=0.0589616, total_loss=0.00347647, train_loss=5.78501e+11
2023-01-02 05:17:41,755 [INFO ]  step=2860000, energy_mae=0.0174415, energy_rmse=0.0588253, total_loss=0.00346042, train_loss=5.82197e+11
